Date,Numbers,Lucky Stars,Payouts,Rolled
Tuesday 8th Mar 2022,"12, 18, 21, 25, 31","2, 9","£14,154,200
Rolled",True
Friday 4th Mar 2022,"6, 20, 40, 42, 43","10, 12","£64,890,075",False
Tuesday 1st Mar 2022,"8, 24, 26, 39, 42","3, 5","£55,075,675
Rolled",True
Friday 25th Feb 2022,"10, 13, 24, 30, 42","1, 5","£46,332,113
Rolled",True
Tuesday 22nd Feb 2022,"5, 9, 14, 26, 32","3, 7","£34,210,472
Rolled",True
Friday 18th Feb 2022,"25, 38, 41, 43, 50","6, 10","£25,336,094
Rolled",True
Tuesday 15th Feb 2022,"9, 20, 31, 33, 44","2, 12","£14,281,700
Rolled",True
Friday 11th Feb 2022,"13, 18, 38, 42, 45","7, 11","£25,905,357",False
Tuesday 8th Feb 2022,"6, 20, 34, 37, 43","7, 10","£14,339,500
Rolled",True
Friday 4th Feb 2022,"3, 25, 38, 43, 49","3, 7","£109,915,000",False
Tuesday 1st Feb 2022,"1, 19, 36, 38, 49","6, 9","£52,442,757
Rolled",True
Friday 28th Jan 2022,"10, 25, 29, 34, 45","9, 10","£42,779,117
Rolled",True
Tuesday 25th Jan 2022,"6, 16, 18, 39, 47","2, 4","£30,632,619
Rolled",True
Friday 21st Jan 2022,"5, 14, 35, 36, 39","7, 12","£21,857,937
Rolled",True
Tuesday 18th Jan 2022,"3, 12, 19, 24, 30","2, 5","£56,246,458",False
Friday 14th Jan 2022,"6, 17, 25, 31, 46","9, 12","£46,600,782
Rolled",True
Tuesday 11th Jan 2022,"4, 23, 32, 33, 44","9, 12","£34,392,715
Rolled",True
Friday 7th Jan 2022,"2, 14, 37, 44, 50","7, 11","£25,451,971
Rolled",True
Tuesday 4th Jan 2022,"18, 28, 35, 36, 41","6, 11","£14,189,900
Rolled",True
Friday 29th Dec 2023,"2, 3, 19, 36, 37","6, 9","£26,478,414
Rolled",True
Tuesday 26th Dec 2023,"8, 27, 30, 35, 47","9, 10","£14,761,100
Rolled",True
Friday 22nd Dec 2023,"6, 14, 34, 44, 49","4, 12","£48,293,103",False
Tuesday 19th Dec 2023,"10, 20, 41, 43, 45","2, 12","£34,944,314
Rolled",True
Friday 15th Dec 2023,"2, 13, 37, 38, 48","5, 9","£26,077,370
Rolled",True
Tuesday 12th Dec 2023,"6, 28, 37, 39, 43","9, 12","£14,613,200
Rolled",True
Friday 8th Dec 2023,"17, 30, 42, 48, 50","4, 8","£206,064,000",False
Tuesday 5th Dec 2023,"4, 6, 20, 24, 25","5, 9","£187,781,097
Rolled",True
Friday 1st Dec 2023,"4, 10, 14, 38, 50","9, 12","£171,360,000
Rolled",True
Tuesday 28th Nov 2023,"12, 16, 27, 33, 44","7, 8","£71,962,515",False
Friday 24th Nov 2023,"15, 20, 29, 39, 48","1, 7","£64,035,895
Rolled",True
Tuesday 21st Nov 2023,"19, 29, 34, 46, 47","2, 3","£53,979,641
Rolled",True
Friday 17th Nov 2023,"2, 24, 26, 46, 50","2, 7","£45,465,075
Rolled",True
Tuesday 14th Nov 2023,"13, 16, 36, 44, 50","3, 5","£33,793,154
Rolled",True
Friday 10th Nov 2023,"10, 21, 30, 38, 42","2, 12","£25,756,383
Rolled",True
Tuesday 7th Nov 2023,"8, 10, 11, 30, 39","4, 10","£14,805,300
Rolled",True
Friday 3rd Nov 2023,"8, 21, 31, 39, 47","5, 9","£27,069,201",False
Tuesday 31st Oct 2023,"5, 7, 20, 40, 50","2, 10","£14,812,100
Rolled",True
Friday 27th Oct 2023,"29, 33, 35, 48, 49","3, 8","£14,832,500",False
Tuesday 24th Oct 2023,"8, 16, 18, 31, 34","6, 9","£22,890,578",False
Friday 20th Oct 2023,"2, 20, 28, 40, 45","1, 5","£14,822,300
Rolled",True
Tuesday 17th Oct 2023,"10, 17, 20, 35, 40","3, 4","£58,485,999",False
Friday 13th Oct 2023,"21, 26, 28, 40, 41","2, 4","£49,110,551
Rolled",True
Tuesday 10th Oct 2023,"18, 20, 22, 33, 43","3, 9","£34,588,543
Rolled",True
Friday 6th Oct 2023,"21, 29, 31, 34, 43","2, 9","£26,109,833
Rolled",True
Tuesday 3rd Oct 2023,"6, 20, 22, 24, 45","4, 5","£14,752,600
Rolled",True
Friday 29th Sep 2023,"9, 11, 13, 21, 32","2, 7","£112,723,000",False
Tuesday 26th Sep 2023,"2, 6, 14, 19, 23","5, 7","£34,891,934
Rolled",True
Friday 22nd Sep 2023,"3, 23, 24, 34, 35","5, 8","£26,145,484
Rolled",True
Tuesday 19th Sep 2023,"10, 15, 31, 41, 42","2, 5","£14,657,400
Rolled",True
Friday 15th Sep 2023,"12, 14, 21, 45, 48","8, 11","£47,263,989.80",False
Tuesday 12th Sep 2023,"5, 14, 36, 40, 42","2, 11","£34,196,431
Rolled",True
Friday 8th Sep 2023,"10, 20, 21, 26, 33","3, 4","£25,673,828
Rolled",True
Tuesday 5th Sep 2023,"1, 7, 24, 41, 48","10, 12","£14,526,500
Rolled",True
Friday 1st Sep 2023,"4, 5, 35, 37, 43","5, 6","£93,555,381",False
Tuesday 29th Aug 2023,"21, 23, 32, 40, 49","8, 11","£81,076,005
Rolled",True
Friday 25th Aug 2023,"16, 17, 34, 35, 44","5, 10","£72,007,686
Rolled",True
Tuesday 22nd Aug 2023,"2, 9, 23, 32, 40","6, 7","£60,733,663
Rolled",True
Friday 18th Aug 2023,"23, 25, 30, 44, 47","9, 12","£52,979,607
Rolled",True
Tuesday 15th Aug 2023,"3, 5, 9, 32, 43","6, 10","£41,619,162
Rolled",True
Friday 11th Aug 2023,"4, 6, 10, 13, 34","3, 5","£33,701,388
Rolled",True
Tuesday 8th Aug 2023,"8, 9, 33, 35, 40","3, 6","£22,733,867
Rolled",True
Friday 4th Aug 2023,"15, 20, 31, 44, 48","1, 3","£14,688,000
Rolled",True
Tuesday 1st Aug 2023,"25, 27, 35, 40, 45","7, 11","£62,072,865",False
Friday 28th Jul 2023,"7, 32, 33, 34, 38","6, 9","£53,782,090
Rolled",True
Tuesday 25th Jul 2023,"5, 7, 11, 27, 37","6, 12","£41,977,767
Rolled",True
Friday 21st Jul 2023,"7, 31, 33, 35, 36","7, 10","£33,716,628
Rolled",True
Tuesday 18th Jul 2023,"4, 12, 34, 35, 45","1, 9","£22,669,005
Rolled",True
Friday 14th Jul 2023,"5, 8, 29, 35, 48","5, 6","£14,587,700
Rolled",True
Tuesday 11th Jul 2023,"2, 11, 28, 42, 48","4, 9","£62,263,297.80",False
Friday 7th Jul 2023,"2, 11, 12, 19, 38","4, 8","£54,578,549
Rolled",True
Tuesday 4th Jul 2023,"14, 17, 23, 36, 44","2, 8","£42,683,435
Rolled",True
Friday 30th Jun 2023,"1, 6, 25, 29, 36","7, 10","£33,841,817
Rolled",True
Tuesday 27th Jun 2023,"17, 22, 23, 27, 44","1, 7","£22,677,891
Rolled",True
Friday 23rd Jun 2023,"1, 3, 11, 33, 46","10, 11","£14,575,800
Rolled",True
Tuesday 20th Jun 2023,"11, 17, 28, 32, 35","5, 6","£55,013,819",False
Friday 16th Jun 2023,"7, 26, 34, 41, 44","9, 11","£45,828,914
Rolled",True
Tuesday 13th Jun 2023,"15, 16, 21, 41, 50","5, 6","£34,278,403
Rolled",True
Friday 9th Jun 2023,"18, 26, 36, 41, 50","11, 12","£25,664,210
Rolled",True
Tuesday 6th Jun 2023,"13, 21, 32, 39, 50","2, 10","£14,642,100
Rolled",True
Friday 2nd Jun 2023,"3, 12, 15, 25, 43","10, 11","£111,709,000",False
Tuesday 30th May 2023,"27, 29, 32, 33, 47","2, 8","£75,373,366
Rolled",True
Friday 26th May 2023,"15, 25, 37, 38, 41","1, 7","£67,468,716
Rolled",True
Tuesday 23rd May 2023,"5, 6, 14, 23, 34","2, 11","£56,740,038
Rolled",True
Friday 19th May 2023,"18, 27, 34, 41, 49","3, 9","£47,431,501
Rolled",True
Tuesday 16th May 2023,"4, 6, 9, 14, 37","4, 11","£35,570,682
Rolled",True
Friday 12th May 2023,"9, 10, 13, 39, 44","4, 6","£26,606,452
Rolled",True
Tuesday 9th May 2023,"13, 17, 21, 28, 46","7, 9","£14,788,300
Rolled",True
Friday 5th May 2023,"3, 8, 18, 34, 49","3, 7","£138,628,153.50",False
Tuesday 2nd May 2023,"7, 32, 44, 47, 48","7, 8","£124,819,178
Rolled",True
Friday 28th Apr 2023,"11, 13, 16, 23, 34","1, 10","£113,251,141
Rolled",True
Tuesday 25th Apr 2023,"10, 29, 30, 40, 45","1, 12","£100,207,415
Rolled",True
Friday 21st Apr 2023,"7, 8, 18, 33, 42","2, 8","£89,830,507
Rolled",True
Tuesday 18th Apr 2023,"17, 21, 23, 35, 37","10, 11","£76,233,786
Rolled",True
Friday 14th Apr 2023,"4, 11, 37, 44, 49","6, 7","£67,887,691
Rolled",True
Tuesday 11th Apr 2023,"10, 14, 16, 19, 29","2, 10","£56,485,517
Rolled",True
Friday 7th Apr 2023,"5, 26, 28, 36, 46","6, 12","£47,438,874
Rolled",True
Tuesday 4th Apr 2023,"10, 16, 31, 33, 50","3, 8","£35,463,718
Rolled",True
Friday 31st Mar 2023,"16, 18, 28, 34, 47","5, 10","£26,659,604
Rolled",True
Tuesday 28th Mar 2023,"16, 21, 34, 36, 44","9, 10","£14,954,900
Rolled",True
Friday 24th Mar 2023,"5, 12, 25, 36, 46","6, 10","£58,372,984",False
Tuesday 21st Mar 2023,"1, 9, 20, 29, 32","2, 3","£45,645,985
Rolled",True
Friday 17th Mar 2023,"5, 15, 26, 37, 49","8, 11","£35,918,139
Rolled",True
Tuesday 14th Mar 2023,"16, 26, 28, 31, 46","11, 12","£23,965,886
Rolled",True
Friday 10th Mar 2023,"9, 16, 37, 38, 48","2, 7","£15,045,000
Rolled",True
Tuesday 7th Mar 2023,"11, 13, 24, 35, 50","6, 11","£129,396,973",False
Friday 3rd Mar 2023,"3, 6, 8, 24, 50","10, 11","£114,855,000
Rolled",True
Tuesday 28th Feb 2023,"12, 29, 33, 37, 47","5, 10","£14,937,900
Rolled",True
Friday 24th Feb 2023,"7, 23, 34, 42, 48","1, 3","£90,371,760",False
Tuesday 21st Feb 2023,"21, 22, 34, 41, 49","2, 7","£77,415,556
Rolled",True
Friday 17th Feb 2023,"8, 23, 27, 42, 45","1, 9","£69,376,023
Rolled",True
Tuesday 14th Feb 2023,"24, 26, 38, 43, 46","2, 3","£55,753,429
Rolled",True
Friday 10th Feb 2023,"3, 13, 25, 36, 47","3, 8","£45,930,816
Rolled",True
Tuesday 7th Feb 2023,"2, 8, 34, 44, 47","3, 9","£33,306,456
Rolled",True
Friday 3rd Feb 2023,"2, 14, 17, 32, 45","3, 10","£24,084,384
Rolled",True
Tuesday 31st Jan 2023,"7, 12, 19, 33, 43","3, 7","£58,309,892",False
Friday 27th Jan 2023,"8, 9, 15, 19, 31","10, 12","£47,780,702
Rolled",True
Tuesday 24th Jan 2023,"11, 27, 41, 43, 47","7, 11","£35,443,812
Rolled",True
Friday 20th Jan 2023,"3, 6, 13, 40, 42","7, 11","£26,337,501
Rolled",True
Tuesday 17th Jan 2023,"18, 21, 30, 46, 50","2, 6","£14,953,200
Rolled",True
Friday 13th Jan 2023,"4, 13, 25, 33, 37","5, 10","£60,965,285",False
Tuesday 10th Jan 2023,"11, 13, 34, 40, 42","3, 10","£45,400,661
Rolled",True
Friday 6th Jan 2023,"16, 31, 35, 44, 45","4, 12","£35,309,699
Rolled",True
Tuesday 3rd Jan 2023,"20, 21, 29, 45, 46","3, 10","£23,803,034
Rolled",True
Tuesday 31st Dec 2024,"19, 24, 26, 28, 33","8, 12","£14,081,100
Rolled",True
Friday 27th Dec 2024,"12, 22, 27, 33, 45","4, 8","£34,188,089",False
Tuesday 24th Dec 2024,"6, 10, 16, 23, 24","11, 12","£23,871,600
Rolled",True
Friday 20th Dec 2024,"10, 14, 21, 33, 50","6, 9","£14,108,300
Rolled",True
Tuesday 17th Dec 2024,"1, 3, 4, 21, 29","2, 7","£64,077,706",False
Friday 13th Dec 2024,"1, 15, 25, 42, 50","4, 10","£56,493,998
Rolled",True
Tuesday 10th Dec 2024,"5, 24, 25, 29, 47","5, 9","£42,059,626
Rolled",True
Friday 6th Dec 2024,"14, 25, 39, 44, 47","6, 10","£33,484,744
Rolled",True
Tuesday 3rd Dec 2024,"23, 25, 34, 46, 47","6, 8","£22,425,451
Rolled",True
Friday 29th Nov 2024,"8, 17, 18, 29, 43","5, 9","£14,128,700
Rolled",True
Tuesday 26th Nov 2024,"7, 11, 25, 31, 40","9, 12","£177,033,699.20",False
Friday 22nd Nov 2024,"10, 11, 12, 29, 31","8, 11","£161,692,181
Rolled",True
Tuesday 19th Nov 2024,"4, 13, 20, 28, 49","7, 12","£140,419,087
Rolled",True
Friday 15th Nov 2024,"7, 8, 34, 39, 44","2, 6","£128,577,965
Rolled",True
Tuesday 12th Nov 2024,"10, 11, 12, 22, 50","1, 10","£114,433,995
Rolled",True
Friday 8th Nov 2024,"2, 33, 35, 42, 48","1, 3","£103,665,143
Rolled",True
Tuesday 5th Nov 2024,"1, 8, 19, 37, 50","6, 9","£91,973,310
Rolled",True
Friday 1st Nov 2024,"7, 33, 38, 44, 50","2, 7","£82,255,604
Rolled",True
Tuesday 29th Oct 2024,"1, 2, 19, 30, 45","10, 12","£71,368,025
Rolled",True
Friday 25th Oct 2024,"4, 17, 20, 25, 45","8, 9","£63,622,199
Rolled",True
Tuesday 22nd Oct 2024,"3, 13, 27, 30, 46","1, 2","£52,767,199
Rolled",True
Friday 18th Oct 2024,"4, 15, 23, 30, 39","1, 12","£44,214,819
Rolled",True
Tuesday 15th Oct 2024,"2, 15, 32, 36, 48","3, 9","£32,964,079
Rolled",True
Friday 11th Oct 2024,"16, 23, 32, 46, 49","4, 5","£24,975,215
Rolled",True
Tuesday 8th Oct 2024,"7, 14, 19, 34, 40","6, 8","£14,263,000
Rolled",True
Friday 4th Oct 2024,"4, 8, 16, 17, 20","1, 6","£135,824,926",False
Tuesday 1st Oct 2024,"8, 22, 29, 41, 42","9, 11","£120,099,439
Rolled",True
Friday 27th Sep 2024,"7, 20, 21, 27, 38","5, 12","£108,576,000
Rolled",True
Tuesday 24th Sep 2024,"18, 20, 21, 36, 49","3, 5","£54,491,831
Rolled",True
Friday 20th Sep 2024,"16, 25, 29, 34, 37","3, 7","£45,909,304
Rolled",True
Tuesday 17th Sep 2024,"20, 30, 32, 41, 44","1, 10","£34,996,870
Rolled",True
Friday 13th Sep 2024,"10, 15, 17, 31, 42","4, 12","£26,624,239
Rolled",True
Tuesday 10th Sep 2024,"6, 29, 46, 47, 48","2, 9","£14,332,700
Rolled",True
Friday 6th Sep 2024,"12, 14, 34, 41, 47","3, 4","£125,920,031",False
Tuesday 3rd Sep 2024,"7, 9, 11, 16, 45","2, 5","£111,706,402
Rolled",True
Friday 30th Aug 2024,"3, 24, 27, 33, 42","4, 6","£100,932,446
Rolled",True
Tuesday 27th Aug 2024,"1, 8, 11, 42, 47","4, 11","£88,587,174
Rolled",True
Friday 23rd Aug 2024,"9, 15, 24, 47, 50","8, 9","£80,134,912
Rolled",True
Tuesday 20th Aug 2024,"7, 10, 13, 18, 26","3, 12","£70,030,320
Rolled",True
Friday 16th Aug 2024,"15, 17, 29, 45, 49","1, 10","£62,021,629
Rolled",True
Tuesday 13th Aug 2024,"15, 16, 39, 40, 47","1, 6","£52,082,902
Rolled",True
Friday 9th Aug 2024,"21, 23, 25, 33, 44","4, 10","£43,386,309
Rolled",True
Tuesday 6th Aug 2024,"1, 18, 27, 41, 50","2, 12","£32,811,078
Rolled",True
Friday 2nd Aug 2024,"5, 7, 12, 33, 46","3, 12","£24,543,900
Rolled",True
Tuesday 30th Jul 2024,"9, 25, 28, 37, 38","2, 8","£14,336,100
Rolled",True
Friday 26th Jul 2024,"4, 19, 23, 35, 37","4, 8","£24,145,749.70",False
Tuesday 23rd Jul 2024,"4, 8, 10, 16, 34","4, 8","£14,312,300
Rolled",True
Friday 19th Jul 2024,"15, 22, 35, 44, 48","6, 7","£44,158,558",False
Tuesday 16th Jul 2024,"2, 32, 35, 36, 39","7, 8","£32,439,060
Rolled",True
Friday 12th Jul 2024,"12, 18, 24, 25, 39","8, 10","£24,485,102
Rolled",True
Tuesday 9th Jul 2024,"6, 15, 19, 28, 39","7, 11","£14,392,200
Rolled",True
Friday 5th Jul 2024,"11, 13, 29, 31, 47","1, 11","£33,078,306.60",False
Tuesday 2nd Jul 2024,"2, 7, 34, 35, 46","6, 8","£22,493,319
Rolled",True
Friday 28th Jun 2024,"10, 16, 18, 22, 35","1, 10","£14,422,800
Rolled",True
Tuesday 25th Jun 2024,"14, 16, 37, 45, 49","5, 7","£180,756,232",False
Friday 21st Jun 2024,"3, 4, 7, 11, 17","3, 12","£165,658,649
Rolled",True
Tuesday 18th Jun 2024,"3, 11, 33, 34, 36","1, 12","£148,984,360
Rolled",True
Friday 14th Jun 2024,"2, 13, 16, 24, 32","1, 7","£136,146,674
Rolled",True
Tuesday 11th Jun 2024,"7, 15, 34, 45, 48","7, 9","£121,156,630
Rolled",True
Friday 7th Jun 2024,"15, 16, 26, 30, 37","5, 8","£110,474,000
Rolled",True
Tuesday 4th Jun 2024,"6, 7, 9, 14, 43","3, 4","£59,838,166
Rolled",True
Friday 31st May 2024,"4, 7, 16, 33, 34","7, 8","£52,171,704
Rolled",True
Tuesday 28th May 2024,"16, 18, 35, 36, 41","6, 7","£40,682,863
Rolled",True
Friday 24th May 2024,"9, 12, 18, 22, 50","1, 3","£32,523,165
Rolled",True
Tuesday 21st May 2024,"11, 13, 14, 34, 48","7, 9","£22,076,027
Rolled",True
Friday 17th May 2024,"18, 31, 32, 41, 46","1, 10","£14,562,200
Rolled",True
Tuesday 14th May 2024,"2, 8, 17, 28, 35","7, 9","£41,933,803",False
Friday 10th May 2024,"13, 28, 29, 44, 48","4, 12","£33,335,763
Rolled",True
Tuesday 7th May 2024,"35, 36, 41, 42, 45","6, 11","£22,751,465
Rolled",True
Friday 3rd May 2024,"6, 9, 10, 30, 49","3, 4","£14,597,900
Rolled",True
Tuesday 30th Apr 2024,"13, 22, 24, 33, 47","1, 5","£142,605,492",False
Friday 26th Apr 2024,"2, 20, 39, 40, 47","4, 8","£130,290,236
Rolled",True
Tuesday 23rd Apr 2024,"6, 9, 11, 32, 49","2, 10","£115,318,610
Rolled",True
Friday 19th Apr 2024,"10, 20, 40, 44, 46","1, 3","£104,634,780
Rolled",True
Tuesday 16th Apr 2024,"22, 29, 31, 39, 46","3, 7","£90,926,180
Rolled",True
Friday 12th Apr 2024,"2, 3, 12, 16, 45","2, 11","£81,652,272
Rolled",True
Tuesday 9th Apr 2024,"19, 23, 26, 27, 46","2, 10","£71,095,344
Rolled",True
Friday 5th Apr 2024,"13, 18, 26, 35, 37","8, 11","£63,133,397
Rolled",True
Tuesday 2nd Apr 2024,"1, 23, 31, 36, 48","5, 8","£52,991,752
Rolled",True
Friday 29th Mar 2024,"16, 17, 35, 36, 49","1, 10","£44,637,566
Rolled",True
Tuesday 26th Mar 2024,"2, 13, 14, 26, 29","5, 6","£33,474,458
Rolled",True
Friday 22nd Mar 2024,"8, 11, 23, 32, 44","9, 10","£25,257,322
Rolled",True
Tuesday 19th Mar 2024,"7, 16, 18, 20, 32","1, 3","£14,531,600
Rolled",True
Friday 15th Mar 2024,"1, 4, 31, 34, 40","4, 5","£111,228,000",False
Tuesday 12th Mar 2024,"13, 19, 30, 38, 46","4, 12","£62,319,725
Rolled",True
Friday 8th Mar 2024,"8, 11, 12, 16, 44","4, 7","£54,258,756
Rolled",True
Tuesday 5th Mar 2024,"2, 15, 17, 23, 36","3, 8","£42,534,485
Rolled",True
Friday 1st Mar 2024,"4, 7, 19, 20, 34","2, 4","£33,832,786
Rolled",True
Tuesday 27th Feb 2024,"3, 4, 9, 12, 20","5, 6","£22,668,447
Rolled",True
Friday 23rd Feb 2024,"24, 27, 28, 30, 49","1, 12","£14,529,900
Rolled",True
Tuesday 20th Feb 2024,"23, 31, 37, 42, 48","3, 7","£62,959,762",False
Friday 16th Feb 2024,"8, 13, 14, 24, 26","1, 2","£54,947,313
Rolled",True
Tuesday 13th Feb 2024,"13, 17, 18, 20, 46","4, 9","£42,755,567
Rolled",True
Friday 9th Feb 2024,"23, 24, 35, 37, 45","9, 12","£34,071,155
Rolled",True
Tuesday 6th Feb 2024,"2, 7, 21, 28, 45","5, 11","£22,793,244
Rolled",True
Friday 2nd Feb 2024,"13, 20, 23, 27, 42","5, 9","£14,535,000
Rolled",True
Tuesday 30th Jan 2024,"5, 10, 19, 27, 30","5, 6","£123,416,462",False
Friday 26th Jan 2024,"8, 19, 32, 41, 42","9, 12","£111,176,000
Rolled",True
Tuesday 23rd Jan 2024,"14, 23, 39, 48, 50","3, 12","£14,548,600
Rolled",True
Friday 19th Jan 2024,"27, 28, 44, 48, 50","7, 12","£14,596,200",False
Tuesday 16th Jan 2024,"10, 18, 21, 33, 45","8, 12","£75,779,937",False
Friday 12th Jan 2024,"16, 17, 18, 45, 49","9, 12","£67,303,737
Rolled",True
Tuesday 9th Jan 2024,"2, 9, 12, 39, 40","1, 3","£55,675,221
Rolled",True
Friday 5th Jan 2024,"4, 7, 18, 39, 50","3, 8","£46,379,442
Rolled",True
Tuesday 2nd Jan 2024,"7, 15, 18, 46, 49","10, 12","£34,818,330
Rolled",True
Tuesday 30th Dec 2025,"11, 26, 29, 34, 44","1, 10","£14,846,100
Rolled",True
Friday 26th Dec 2025,"12, 22, 32, 36, 48","3, 4","£47,164,703",False
Tuesday 23rd Dec 2025,"8, 26, 27, 29, 44","11, 12","£36,219,854
Rolled",True
Friday 19th Dec 2025,"17, 21, 39, 43, 44","1, 11","£26,272,412
Rolled",True
Tuesday 16th Dec 2025,"14, 16, 40, 41, 44","2, 10","£14,902,200
Rolled",True
Friday 12th Dec 2025,"7, 25, 30, 37, 41","5, 11","£14,941,300",False
Tuesday 9th Dec 2025,"2, 8, 13, 29, 49","2, 11","£124,643,821",False
Friday 5th Dec 2025,"9, 15, 25, 34, 46","8, 12","£113,633,000
Rolled",True
Tuesday 2nd Dec 2025,"4, 13, 14, 20, 41","6, 12","£14,971,900
Rolled",True
Friday 28th Nov 2025,"5, 29, 33, 39, 42","3, 9","£156,646,223",False
Tuesday 25th Nov 2025,"6, 11, 17, 35, 44","3, 7","£142,321,587
Rolled",True
Friday 21st Nov 2025,"17, 19, 29, 35, 48","5, 9","£131,464,184
Rolled",True
Tuesday 18th Nov 2025,"2, 4, 15, 21, 48","6, 12","£118,491,408
Rolled",True
Friday 14th Nov 2025,"9, 26, 27, 45, 48","8, 9","£108,302,730
Rolled",True
Tuesday 11th Nov 2025,"4, 22, 32, 36, 47","2, 10","£95,492,878
Rolled",True
Friday 7th Nov 2025,"11, 21, 39, 40, 43","2, 8","£86,185,474
Rolled",True
Tuesday 4th Nov 2025,"6, 9, 25, 28, 45","1, 4","£75,171,029
Rolled",True
Friday 31st Oct 2025,"5, 14, 38, 43, 45","7, 11","£66,400,273
Rolled",True
Tuesday 28th Oct 2025,"7, 8, 24, 35, 49","2, 12","£54,999,780
Rolled",True
Friday 24th Oct 2025,"7, 8, 25, 31, 45","7, 12","£45,681,300
Rolled",True
Tuesday 21st Oct 2025,"5, 24, 29, 40, 42","6, 12","£33,950,861
Rolled",True
Friday 17th Oct 2025,"13, 35, 39, 44, 47","3, 5","£25,559,255
Rolled",True
Tuesday 14th Oct 2025,"5, 8, 14, 16, 18","3, 10","£14,817,200
Rolled",True
Friday 10th Oct 2025,"6, 7, 17, 20, 21","1, 10","£25,701,358",False
Tuesday 7th Oct 2025,"24, 39, 42, 43, 48","5, 8","£14,773,000
Rolled",True
Friday 3rd Oct 2025,"6, 12, 18, 25, 41","2, 6","£26,038,157.40",False
Tuesday 30th Sep 2025,"3, 8, 15, 17, 48","2, 8","£14,852,900
Rolled",True
Friday 26th Sep 2025,"4, 17, 25, 28, 44","5, 11","£113,568,000",False
Tuesday 23rd Sep 2025,"11, 13, 24, 29, 33","2, 5","£56,128,723
Rolled",True
Friday 19th Sep 2025,"8, 10, 26, 32, 42","9, 12","£46,564,196
Rolled",True
Tuesday 16th Sep 2025,"1, 9, 13, 35, 40","5, 6","£34,718,425
Rolled",True
Friday 12th Sep 2025,"5, 10, 23, 31, 37","3, 11","£25,768,241
Rolled",True
Tuesday 9th Sep 2025,"3, 13, 24, 39, 40","2, 8","£14,732,200
Rolled",True
Friday 5th Sep 2025,"27, 30, 31, 41, 43","5, 8","£56,681,384",False
Tuesday 2nd Sep 2025,"13, 30, 31, 32, 36","1, 12","£44,408,792
Rolled",True
Friday 29th Aug 2025,"6, 9, 10, 13, 37","1, 7","£34,757,748
Rolled",True
Tuesday 26th Aug 2025,"2, 14, 38, 42, 45","10, 11","£23,177,179
Rolled",True
Friday 22nd Aug 2025,"6, 9, 12, 30, 39","4, 10","£14,745,800
Rolled",True
Tuesday 19th Aug 2025,"24, 31, 34, 41, 43","6, 8","£216,150,000",False
Friday 15th Aug 2025,"13, 30, 35, 36, 40","2, 6","£200,645,465
Rolled",True
Tuesday 12th Aug 2025,"18, 28, 42, 46, 48","3, 9","£184,536,067
Rolled",True
Friday 8th Aug 2025,"2, 12, 19, 34, 44","6, 10","£171,118,004
Rolled",True
Tuesday 5th Aug 2025,"1, 3, 5, 42, 47","5, 10","£156,693,569
Rolled",True
Friday 1st Aug 2025,"4, 16, 25, 29, 30","2, 10","£145,228,808
Rolled",True
Tuesday 29th Jul 2025,"5, 6, 42, 44, 46","4, 8","£130,116,570
Rolled",True
Friday 25th Jul 2025,"6, 7, 23, 32, 36","11, 12","£120,532,068
Rolled",True
Tuesday 22nd Jul 2025,"8, 15, 26, 33, 41","9, 10","£107,138,894
Rolled",True
Friday 18th Jul 2025,"13, 19, 25, 42, 45","2, 9","£96,797,541
Rolled",True
Tuesday 15th Jul 2025,"24, 38, 41, 45, 49","1, 6","£84,014,945
Rolled",True
Friday 11th Jul 2025,"8, 23, 24, 45, 49","2, 10","£75,185,800
Rolled",True
Tuesday 8th Jul 2025,"1, 8, 9, 18, 50","1, 5","£64,367,280
Rolled",True
Friday 4th Jul 2025,"19, 29, 42, 45, 48","5, 7","£56,006,015
Rolled",True
Tuesday 1st Jul 2025,"1, 17, 28, 32, 34","7, 8","£43,818,269
Rolled",True
Friday 27th Jun 2025,"19, 27, 36, 45, 49","7, 10","£34,475,868
Rolled",True
Tuesday 24th Jun 2025,"7, 16, 21, 23, 39","7, 11","£22,994,509
Rolled",True
Friday 20th Jun 2025,"5, 8, 24, 37, 47","3, 9","£14,000,000
Rolled",True
Tuesday 17th Jun 2025,"13, 22, 23, 44, 49","3, 5","£213,650,000",False
Friday 13th Jun 2025,"2, 28, 40, 43, 45","3, 7","£212,575,000
Rolled",True
Tuesday 10th Jun 2025,"19, 36, 39, 40, 45","5, 6","£211,875,000
Rolled",True
Friday 6th Jun 2025,"20, 21, 29, 30, 35","2, 12","£210,775,000
Rolled",True
Tuesday 3rd Jun 2025,"12, 15, 38, 47, 48","5, 7","£201,083,864
Rolled",True
Friday 30th May 2025,"4, 7, 14, 33, 36","1, 5","£184,193,289
Rolled",True
Tuesday 27th May 2025,"12, 30, 38, 40, 41","4, 12","£166,329,474
Rolled",True
Friday 23rd May 2025,"10, 29, 43, 46, 49","7, 12","£153,225,546
Rolled",True
Tuesday 20th May 2025,"1, 8, 13, 29, 47","5, 6","£139,135,511
Rolled",True
Friday 16th May 2025,"6, 9, 25, 37, 46","6, 12","£127,273,727
Rolled",True
Tuesday 13th May 2025,"9, 19, 44, 47, 50","2, 9","£113,923,081
Rolled",True
Friday 9th May 2025,"15, 18, 25, 29, 47","5, 9","£104,104,433
Rolled",True
